ds,cpu,memory,machines_reporting
2018-01-02 14:40:00,33.49583333333334,85.53333333333333,10
2018-01-02 14:45:00,35.66410256410256,86.63846153846154,13
2018-01-02 14:50:00,41.22748015873015,86.85089285714287,12
2018-01-02 14:55:00,32.76904761904762,85.70357142857142,14
2018-01-02 15:00:00,36.202564102564104,86.4871794871795,13
2018-01-02 15:05:00,41.638888888888886,89.20370370370371,9
2018-01-02 15:10:00,,,0
2018-01-02 15:15:00,36.33333333333333,82.66666666666666,2
2018-01-02 15:20:00,,,0
2018-01-02 15:25:00,,,0
2018-01-02 15:30:00,,,0
2018-01-02 15:35:00,,,0
2018-01-02 15:40:00,,,0
2018-01-02 15:45:00,,,0
2018-01-02 15:50:00,,,0
2018-01-02 15:55:00,,,0
2018-01-02 16:00:00,,,0
2018-01-02 16:05:00,,,0
2018-01-02 16:10:00,,,0
2018-01-02 16:15:00,,,0
2018-01-02 16:20:00,,,0
2018-01-02 16:25:00,,,0
2018-01-02 16:30:00,,,0
2018-01-02 16:35:00,,,0
2018-01-02 16:40:00,,,0
2018-01-02 16:45:00,,,0
2018-01-02 16:50:00,,,0
2018-01-02 16:55:00,,,0
2018-01-02 17:00:00,,,0
2018-01-02 17:05:00,,,0
2018-01-02 17:10:00,,,0
2018-01-02 17:15:00,,,0
2018-01-02 17:20:00,,,0
2018-01-02 17:25:00,,,0
2018-01-02 17:30:00,,,0
2018-01-02 17:35:00,,,0
2018-01-02 17:40:00,,,0
2018-01-02 17:45:00,,,0
2018-01-02 17:50:00,,,0
2018-01-02 17:55:00,,,0
2018-01-02 18:00:00,,,0
2018-01-02 18:05:00,,,0
2018-01-02 18:10:00,,,0
2018-01-02 18:15:00,,,0
2018-01-02 18:20:00,,,0
2018-01-02 18:25:00,,,0
2018-01-02 18:30:00,,,0
2018-01-02 18:35:00,,,0
2018-01-02 18:40:00,,,0
2018-01-02 18:45:00,,,0
2018-01-02 18:50:00,,,0
2018-01-02 18:55:00,,,0
2018-01-02 19:00:00,,,0
2018-01-02 19:05:00,,,0
2018-01-02 19:10:00,,,0
2018-01-02 19:15:00,,,0
2018-01-02 19:20:00,,,0
2018-01-02 19:25:00,,,0
2018-01-02 19:30:00,,,0
2018-01-02 19:35:00,,,0
2018-01-02 19:40:00,,,0
2018-01-02 19:45:00,,,0
2018-01-02 19:50:00,,,0
2018-01-02 19:55:00,,,0
2018-01-02 20:00:00,,,0
2018-01-02 20:05:00,,,0
2018-01-02 20:10:00,,,0
2018-01-02 20:15:00,,,0
2018-01-02 20:20:00,,,0
